_id,ngoId,organization_name,contact_person,phone,city,lat,lng,address,capacity,mealsServedDaily,openTime,closeTime,active,createdAt
85bc35e22f7b58c1ac324fa0,c2d7bfd84f7dcfdefde59f01,Akshaya Patra Foundation,Ananya Gowda,+91 8023314340,Bangalore,12.9660,77.5825,Indiranagar 100ft Road Bangalore,891,496,08:00,20:00,true,2025-12-14T02:02:20.964Z
5eb2275f235e0b9715b5f46b,bc06576f75cccafbef4fc17f,Feeding India,Pushpa Iyer,+91 8829562421,Mysore,12.2788,76.6207,Jayanagar 4th Block Mysore,1108,445,08:00,20:00,true,2026-02-19T18:27:28.094Z
5c78b8f50ddfea1c708c7397,c773c75663c588ad7ab910b9,Robin Hood Army Karnataka,Kavita Patel,+91 7257097543,Hubli,15.3829,75.1132,Basaveshwaranagar Main Road Hubli,1162,65,08:00,20:00,true,2025-11-22T13:49:08.850Z
b4698e11cccf412bb9c83072,6802704c9cfdca5055660608,Annapoorna Trust,Satish Gowda,+91 9817016918,Mangalore,12.9134,74.8744,Race Course Road Mangalore,955,232,08:00,20:00,true,2026-02-13T19:12:21.893Z
066359bc70d83924086ff49a,6824fda0d2144bf0d3240bd4,Adamya Chetana,Geeta Menon,+91 9676660041,Belgaum,15.8688,74.4817,Brigade Road Belgaum,1126,173,08:00,20:00,true,2026-03-22T21:13:57.737Z
6594b56af46860a01bf956c5,a6ca14f81606d5bd15bb6901,Iskcon Food Relief,Meenakshi Mallya,+91 8937546097,Davanagere,14.4486,75.9084,JP Nagar 6th Phase Davanagere,1363,127,08:00,20:00,true,2026-04-14T21:25:35.169Z
167f926b18170329db51826b,20c888892262b8d3eaac4864,Infosys Foundation,Usha Naidu,+91 9584739305,Shimoga,13.9311,75.5603,Residency Road Shimoga,186,47,08:00,20:00,true,2026-01-10T11:32:25.119Z
7f85bfb392c98706b8ce4469,959ca5c0337bf46dc1fe18d2,Wipro Cares,Pooja Shetty,+91 8525849205,Udupi,13.3278,74.7783,Brigade Road Udupi,890,204,08:00,20:00,true,2026-01-12T18:54:01.021Z
dc6b15f25c6e537cf916a681,7d27e8062de9ae0bcb14d7ab,No Food Waste Bangalore,Sneha Pai,+91 8591904061,Gulbarga,17.3406,76.8347,Sarjapur Road Gulbarga,1008,295,08:00,20:00,true,2025-11-21T10:46:12.031Z
e0ef45a2bc80e1224725b61a,398b9f6084af42e571e303c1,Roti Bank Karnataka,Ananya Gupta,+91 7881915308,Raichur,16.2001,77.3279,Yelahanka New Town Raichur,438,399,08:00,20:00,true,2026-02-25T10:18:55.646Z
c6c17d3155d97dec3e59aaa0,0d36db5bd39fbe8e225b89f1,Food For All Trust,Jyothi Menon,+91 9247767655,Bangalore,12.9909,77.5920,Basaveshwaranagar Main Road Bangalore,954,164,08:00,20:00,true,2026-01-17T03:21:11.787Z
